Parent,Code,Level,Type,Name Khmer,Name Latin,Reference,Official Notes
,KH,0,ប្រទេស,កម្ពុជា,Cambodia,,
KH,KH01,1,ខេត្ត,បន្ទាយមានជ័យ,Banteay Meanchey,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH02,1,ខេត្ត,បាត់ដំបង,Battambang,លេខ​៤៩៣ប្រ.ក,
KH,KH03,1,ខេត្ត,កំពង់ចាម,Kampong Cham,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH04,1,ខេត្ត,កំពង់ឆ្នាំង,Kampong Chhnang,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH05,1,ខេត្ត,កំពង់ស្ពឺ,Kampong Speu,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH06,1,ខេត្ត,កំពង់ធំ,Kampong Thom,ប្រកាសលេខ ៤៩៣​ ប្រ.ក,
KH,KH07,1,ខេត្ត,កំពត,Kampot,ប្រកាសលេខ ៤៩៣ ​ប្រ.ក របស់ក្រសួងមហាផ្ទៃ,
KH,KH08,1,ខេត្ត,កណ្ដាល,Kandal,ប្រកាសលេខ ៤៩៣​ ប្រ.ក,
KH,KH09,1,ខេត្ត,កោះកុង,Koh Kong,ប្រកាសលេខ ៤៩៣ ប្រ.ក របស់ក្រសួងមហាផ្ទៃ,
KH,KH10,1,ខេត្ត,ក្រចេះ,Kratie,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH11,1,ខេត្ត,មណ្ឌលគិរី,Mondul Kiri,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH12,1,រាជធានី,ភ្នំពេញ,Phnom Penh,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH13,1,ខេត្ត,ព្រះវិហារ,Preah Vihear,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH14,1,ខេត្ត,ព្រៃវែង,Prey Veng,ប្រកាសលេខ ៤៩៣​ ប្រ.ក,
KH,KH15,1,ខេត្ត,ពោធិ៍សាត់,Pursat,លេខ​៤៩៣​ប្រ.ក,
KH,KH16,1,ខេត្ត,រតនគិរី,Ratanak Kiri,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH17,1,ខេត្ត,សៀមរាប,Siemreap,ប្រកាសលេខ ៤៩៣ ប្រ.ក,
KH,KH18,1,ខេត្ត,ព្រះសីហនុ,Preah Sihanouk,ព្រះរាជក្រឹត្យលេខ នស/រកត/១២០៨/១៣៨៥,
