level,parent,code,name_en,name_km,longitude,latitude,google
1,KH,KH01,Banteay Meanchey,បន្ទាយមានជ័យ,103.01780957650536,13.705363970488683,13.705364 103.017810
1,KH,KH02,Battambang,បាត់ដំបង,103.08542051698794,12.97913867587153,12.979139 103.085421
1,KH,KH03,Kampong Cham,កំពង់ចាម,105.27233748195536,12.126012755619968,12.126013 105.272337
1,KH,KH04,Kampong Chhnang,កំពង់ឆ្នាំង,104.55990829606873,12.159931986154998,12.159932 104.559908
1,KH,KH05,Kampong Speu,កំពង់ស្ពឺ,104.29252955738376,11.535854254315606,11.535854 104.292530
1,KH,KH06,Kampong Thom,កំពង់ធំ,105.0685838237367,12.828537299127104,12.828537 105.068584
1,KH,KH07,Kampot,កំពត,104.30931542516664,10.795366573221418,10.795367 104.309315
1,KH,KH08,Kandal,កណ្ដាល,105.01798213148452,11.422834317651928,11.422834 105.017982
1,KH,KH09,Koh Kong,កោះកុង,103.4130123240756,11.513566846389962,11.513567 103.413012
1,KH,KH10,Kratie,ក្រចេះ,106.16923273920682,12.628916724314356,12.628917 106.169233
1,KH,KH11,Mondul Kiri,មណ្ឌលគិរី,106.99192459340236,12.76705947934956,12.767059 106.991925
1,KH,KH12,Phnom Penh,ភ្នំពេញ,104.86514938347514,11.562899898718555,11.562900 104.865149
1,KH,KH13,Preah Vihear,ព្រះវិហារ,105.00639934408166,13.797802589438032,13.797803 105.006399
1,KH,KH14,Prey Veng,ព្រៃវែង,105.42437846686076,11.396325102045065,11.396325 105.424378
1,KH,KH15,Pursat,ពោធិ៍សាត់,103.60687884858622,12.335105759047432,12.335106 103.606879
1,KH,KH16,Ratanak Kiri,រតនគិរី,107.0884420417243,13.796559601020787,13.796560 107.088442
1,KH,KH17,Siemreap,សៀមរាប,104.02086979741118,13.507522114827268,13.507522 104.020870
1,KH,KH18,Preah Sihanouk,ព្រះសីហនុ,103.80354003627492,10.863139646891678,10.863140 103.803540
1,KH,KH19,Stung Treng,ស្ទឹងត្រែង,106.17532321905853,13.806444698568637,13.806445 106.175323
1,KH,KH20,Svay Rieng,ស្វាយរៀង,105.86434697166784,11.155268247245363,11.155268 105.864347
1,KH,KH21,Takeo,តាកែវ,104.81624234924084,10.940453938050812,10.940454 104.816242
1,KH,KH22,Oddar Meanchey,ឧត្តរមានជ័យ,103.78943683545648,14.164212510559658,14.164213 103.789437
1,KH,KH23,Kep,កែប,104.3437978411322,10.5215738594669,10.521574 104.343798
1,KH,KH24,Pailin,ប៉ៃលិន,102.6344816638291,12.881305465209197,12.881305 102.634482
1,KH,KH25,Tboung Khmum,ត្បូងឃ្មុំ,105.8883071303499,11.935875829093463,11.935876 105.888307
2,KH01,KH0102,Mongkol Borei,មង្គលបូរី,102.98792777081768,13.458231272330666,13.458231 102.987928
2,KH01,KH0103,Phnum Srok,ភ្នំស្រុក,103.31674502005148,13.82333472614244,13.823335 103.316745
2,KH01,KH0104,Preah Netr Preah,ព្រះនេត្រព្រះ,103.24361249888024,13.575598321842898,13.575598 103.243612
2,KH01,KH0105,Ou Chrov,អូរជ្រៅ,102.8103867532618,13.641240634529806,13.641241 102.810387
2,KH01,KH0106,Serei Saophoan,សិរីសោភ័ណ,102.96562397586352,13.614161815619086,13.614162 102.965624
2,KH01,KH0107,Thma Puok,ថ្មពួក,103.04348783593908,14.011641132079497,14.011641 103.043488
2,KH01,KH0108,Svay Chek,ស្វាយចេក,102.95360110629116,13.81552054579504,13.815521 102.953601
2,KH01,KH0109,Malai,ម៉ាឡៃ,102.57333444536712,13.520118783889512,13.520119 102.573334
2,KH01,KH0110,Paoy Paet,ប៉ោយប៉ែត,102.66416506528935,13.645447281205104,13.645447 102.664165
2,KH02,KH0201,Banan,បាណន់,103.04488700876972,12.973344136630926,12.973344 103.044887
2,KH02,KH0202,Thma Koul,ថ្មគោល,103.09417094253904,13.260978148686124,13.260978 103.094171
2,KH02,KH0203,Battambang,បាត់ដំបង,103.16458845723922,13.087859663050592,13.087860 103.164588
2,KH02,KH0204,Bavel,បវេល,102.82573513679064,13.23906890426713,13.239069 102.825735
2,KH02,KH0205,Aek Phnum,ឯកភ្នំ,103.43847112511482,13.243083967695432,13.243084 103.438471
2,KH02,KH0206,Moung Ruessei,មោងឫស្សី,103.52145263912924,12.829644244578962,12.829644 103.521453
2,KH02,KH0207,Rotonak Mondol,រតនមណ្ឌល,102.8728990479042,12.871122940282977,12.871123 102.872899
2,KH02,KH0208,Sangkae,សង្កែ,103.40930918417706,13.058507821900388,13.058508 103.409309
2,KH02,KH0209,Samlout,សំឡូត,102.85483999276214,12.600623180714074,12.600623 102.854840
2,KH02,KH0210,Sampov Lun,សំពៅលូន,102.52861167039843,13.42004179998336,13.420042 102.528612
2,KH02,KH0211,Phnum Proek,ភ្នំព្រឹក,102.52389805812352,13.282278920275507,13.282279 102.523898
2,KH02,KH0212,Kamrieng,កំរៀង,102.5615587258498,13.123321342040196,13.123321 102.561559
2,KH02,KH0213,Koas Krala,គាស់ក្រឡ,103.18186805372623,12.680933317773444,12.680933 103.181868
2,KH02,KH0214,Rukh Kiri,រុក្ខគិរី,103.4447700443991,12.588586558488714,12.588587 103.444770
2,KH03,KH0301,Batheay,បាធាយ,104.93096867110718,12.030968570195114,12.030969 104.930969
2,KH03,KH0302,Chamkar Leu,ចំការលើ,105.28711393651406,12.268990495670554,12.268990 105.287114
2,KH03,KH0303,Cheung Prey,ជើងព្រៃ,105.06228067288832,12.094700906013587,12.094701 105.062281
2,KH03,KH0305,Kampong Cham,កំពង់ចាម,105.4414139974324,11.985515027588358,11.985515 105.441414
2,KH03,KH0306,Kampong Siem,កំពង់សៀម,105.43360649119808,12.060445892695444,12.060446 105.433606
2,KH03,KH0307,Kang Meas,កងមាស,105.14768044520298,11.9396994039845,11.939699 105.147680
2,KH03,KH0308,Kaoh Soutin,កោះសូទិន,105.36838953600947,11.888786832118598,11.888787 105.368390
2,KH03,KH0313,Prey Chhor,ព្រៃឈរ,105.22663419089882,12.088674937858116,12.088675 105.226634
2,KH03,KH0314,Srei Santhor,ស្រីសន្ធរ,105.16544293122294,11.837084203836424,11.837084 105.165443
2,KH03,KH0315,Stueng Trang,ស្ទឹងត្រង់,105.55736476089488,12.358759296919835,12.358759 105.557365
2,KH04,KH0401,Baribour,បរិបូណ៌,104.46376693800534,12.40682397216062,12.406824 104.463767
2,KH04,KH0402,Chol Kiri,ជលគីរី,104.8215665210264,12.15989449743306,12.159894 104.821567
2,KH04,KH0403,Kampong Chhnang,កំពង់ឆ្នាំង,104.67729597615492,12.260716556305356,12.260717 104.677296
2,KH04,KH0404,Kampong Leaeng,កំពង់លែង,104.71287461186624,12.429770369212047,12.429770 104.712875
