Order,Name,Khmer,Geocode,number of Villages,District,Province,Latitude,Longitude
1,Banteay Neang,បន្ទាយនាង,10201,19,Mongkol Borei, Banteay Meanchey,13.5108093,103.0155323
2,Bat Trang,បត់ត្រង់,10202,11,Mongkol Borei,Banteay Meanchey ,13.5162836,102.9879501
3,Chamnaom,ចំណោម,10203,18,Mongkol Borei,Banteay Meanchey  ,13.4434083,102.9367153
4,Kouk Ballangk,គោកបល្ល័ង្គ,10204,8,Mongkol Borei,Banteay Meanchey ,13.4813532,103.1618498
5,Koy Maeng,គយម៉ែង,10205,8,Mongkol Borei,Banteay Meanchey ,13.5531706,103.0926238
6,Ou Prasat,អូរប្រាសាទ,10206,14,Mongkol Borei,Banteay Meanchey ,13.4498324,103.0157697
7,Phnum Touch,ភ្នំតូច,10207,10,Mongkol Borei,Banteay Meanchey ,13.4031493,103.0179642
8,Rohat Tuek,រហាត់ទឹក,10208,13,Mongkol Borei,Banteay Meanchey ,13.4801244,102.9833586
9,Ruessei Kraok,ឫស្សីក្រោក,10209,17,Mongkol Borei,Banteay Meanchey ,13.5373823,103.0228322
10,Sambuor,សំបួរ,10210,11,Mongkol Borei,Banteay Meanchey ,13.4526166,103.2235585
11,Soea,សឿ,10211,13,Mongkol Borei,Banteay Meanchey ,13.3918589,102.9291569
12,Srah Reang,ស្រះរាំង,10212,9,Mongkol Borei,Banteay Meanchey ,13.4971872,103.0990343
13,Ta Lam,តាឡំ,10213,8,Mongkol Borei,Banteay Meanchey ,13.521751,103.1002536
14,Nam Tau,ណាំតៅ,10301,18,Phnum Srok,Banteay Meanchey ,13.8922206,103.402073
15,Poy Char,ប៉ោយចារ,10302,10,Phnum Srok,Banteay Meanchey ,13.7807638,103.3149254
16,Ponley,ពន្លៃ,10303,6,Phnum Srok,Banteay Meanchey ,13.8119392,103.1896543
17,Spean Sraeng,ស្ពានស្រែង,10304,6,Phnum Srok,Banteay Meanchey ,13.7014178,103.4101027
18,Srah Chik,ស្រះជីក,10305,9,Phnum Srok,Banteay Meanchey ,13.7437439,103.3377507
19,Phnum Dei,ភ្នំដី,10306,11,Phnum Srok,Banteay Meanchey ,13.7338981,103.3707086
20,Chnuor Mean Chey,ឈ្នួរមានជ័យ,10401,12,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
21,Chob Vari,ជប់វារី,10402,11,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
22,Phnum Lieb,ភ្នំលៀប,10403,16,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
23,Prasat,ប្រាសាទ,10404,14,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
24,Preak Netr Preah,ព្រះនេត្រព្រះ,10405,13,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
25,Rohal,រហាល,10406,11,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
26,Tean Kam,ទានកាំ,10407,6,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
27,Tuek Chour,ទឹកជោរ,10408,18,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
28,Bos Sbov,បុស្បូវ,10409,17,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
29,Changha,ចង្ហា,10501,6,Ou Chrov,Banteay Meanchey ,13.6510074,102.8869649
30,Koub,កូប,10502,11,Ou Chrov,Banteay Meanchey ,13.609095,102.7648293
31,Kuttasat,គុត្ដសត,10503,4,Ou Chrov,Banteay Meanchey ,13.586266,102.7624709
32,Samraong,សំរោង,10505,10,Ou Chrov,Banteay Meanchey ,13.5556244,102.8375933
33,Souphi,សូភី,10506,5,Ou Chrov,Banteay Meanchey ,13.6403791,102.8339041
