Order,Name,Khmer,Geocode,District,Province,Latitude,Longitude
20,Chnuor Mean Chey,ឈ្នួរមានជ័យ,10401,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
21,Chob Vari,ជប់វារី,10402,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
22,Phnum Lieb,ភ្នំលៀប,10403,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
23,Prasat,ប្រាសាទ,10404,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
24,Preak Netr Preah,ព្រះនេត្រព្រះ,10405,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
25,Rohal,រហាល,10406,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
26,Tean Kam,ទានកាំ,10407,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
27,Tuek Chour,ទឹកជោរ,10408,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
28,Bos Sbov,បុស្បូវ,10409,Preah Netr,Banteay Meanchey ,13.6209301,103.1826862
58,Malai,ម៉ាឡៃ,10902,Malai,Banteay Meanchey ,13.5670345,102.3649454
60,Ou Sralau,អូរស្រឡៅ,10904,Malai,Banteay Meanchey ,13.5670345,102.3649454
96,Bavel,បវេល,20401,Bavel,Battambang ,13.2545948,102.8802479
98,Lvea,ល្វា,20403,Bavel,Battambang ,13.2545948,102.8802479
101,Kdol Ta Haen,ក្ដុលតាហែន,20406,Bavel,Battambang ,13.2545948,102.8802479
103,Boeung Pram,បឹងប្រាំ,20408,Bavel,Battambang ,13.2545948,102.8802479
104,Bouvel,បួវិល,20409,Bavel,Battambang ,13.2545948,102.8802479
149,Phnum Proek,ភ្នំព្រឹក,21101,Phnum Proek,Battambang ,13.3157871,102.3650021
151,Bour,បួរ,21103,Phnum Proek,Battambang ,13.3157871,102.3650021
243,Kor,គរ,31305,Prey Chhor,Kampong Cham ,12.0581363,105.2576399
245,Lvea,ល្វា,31307,Prey Chhor,Kampong Cham ,12.0581363,105.2576399
247,Prey Chhor,ព្រៃឈរ,31309,Prey Chhor,Kampong Cham ,12.0581363,105.2576399
286,Phsar,ផ្សារ,40107,Baribour,Kampong Chhnang ,12.4408016,104.4548621
287,Pech Changvar,ពេជចង្វារ,40108,Baribour,Kampong Chhnang ,12.4408016,104.4548621
322,Chrey Bak,ជ្រៃបាក់,40604,Rolea B'ier,Kampong Chhnang ,12.2036834,104.6616973
328,Rolea B'ier,រលាប្អៀរ,40610,Rolea B'ier,Kampong Chhnang ,12.2036834,104.6616973
